PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-1107	2.7.1.140-RXN	PWY-6554	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7163	PWY-6554	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-4941	PWY-6369	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7163	PWY-4562	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7162	PWY-4541	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7163	PWY-4541	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7184	PWY-6554	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7163	PWY-4661	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7184	PWY-4562	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	RXN-7163	PWY-6369	left	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	2.7.1.134-RXN	PWY-4661	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-1107	2.7.1.140-RXN	PWY-4562	right	D- myo -inositol 1,3,4,5,6-pentakisphosphate	C01284		16322
CPD-505	2.7.1.140-RXN	PWY-6554	left	D- myo -inositol (1,3,4,6)-tetrakisphosphate	C04477	25201336	57660
CPD-505	RXN-7185	PWY-4562	left	D- myo -inositol (1,3,4,6)-tetrakisphosphate	C04477	25201336	57660
CPD-505	2.7.1.133-RXN	PWY-6554	right	D- myo -inositol (1,3,4,6)-tetrakisphosphate	C04477	25201336	57660
CPD-505	2.7.1.140-RXN	PWY-4562	left	D- myo -inositol (1,3,4,6)-tetrakisphosphate	C04477	25201336	57660
CPD-505	2.7.1.133-RXN	PWY-4562	right	D- myo -inositol (1,3,4,6)-tetrakisphosphate	C04477	25201336	57660
ADP	2.7.1.148-RXN	PWY-7560	right	ADP	C00008	7058055	456216
ADP	4.2.1.93-RXN	PWY-6938	right	ADP	C00008	7058055	456216
ADP	RXN-13141	PWY-8136	left	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	PWY-6964	right	ADP	C00008	7058055	456216
ADP	DTMPKI-RXN	PWY-7210	right	ADP	C00008	7058055	456216
ADP	3.6.3.3-RXN	PWY-6213	right	ADP	C00008	7058055	456216
ADP	FOLYLPOLYGLUTAMATESYNTH-RXN	PWY-2161	right	ADP	C00008	7058055	456216
ADP	RXN-13336	PWY-7039	right	ADP	C00008	7058055	456216
ADP	2.7.1.140-RXN	PWY-4562	right	ADP	C00008	7058055	456216
ADP	OHMETPYRKIN-RXN	PWY-7356	right	ADP	C00008	7058055	456216
ADP	ADPREDUCT-RXN	PWY-7227	right	ADP	C00008	7058055	456216
ADP	FORMATETHFLIG-RXN	PWY-1722	right	ADP	C00008	7058055	456216
ADP	RXN-7182	PWY-4541	right	ADP	C00008	7058055	456216
ADP	RXN-22341	PWY-8259	right	ADP	C00008	7058055	456216
ADP	CARBPSYN-RXN	PWY-5686	right	ADP	C00008	7058055	456216
ADP	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	PWY-7942	right	ADP	C00008	7058055	456216
ADP	RXNQT-1	PWYQT-1	right	ADP	C00008	7058055	456216
ADP	SUCCCOASYN-RXN	PWYQT-4481	right	ADP	C00008	7058055	456216
ADP	DTMPKI-RXN	PWY-7197	right	ADP	C00008	7058055	456216
ADP	RXN-10974	PWY-6369	right	ADP	C00008	7058055	456216
ADP	DIHYDROFOLATESYNTH-RXN	PWY-3742	right	ADP	C00008	7058055	456216
ADP	RXN-12002	PWY-5687	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	GLUCOSE1PMETAB-PWY	right	ADP	C00008	7058055	456216
ADP	GLUTCYSLIG-RXN	GLUTATHIONESYN-PWY	right	ADP	C00008	7058055	456216
ADP	CTPSYN-RXN	PWY-7176	right	ADP	C00008	7058055	456216
ADP	DGDPKIN-RXN	PWY-7226	right	ADP	C00008	7058055	456216
ADP	6PFRUCTPHOS-RXN	GLYCOLYSIS	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	PWY-1042	right	ADP	C00008	7058055	456216
ADP	1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	GLYRIBONUCSYN-RXN	PWY-6121	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	PWY-7060	right	ADP	C00008	7058055	456216
ADP	NAD-KIN-RXN	PWY-5083	right	ADP	C00008	7058055	456216
ADP	RXN-7163	PWY-6369	right	ADP	C00008	7058055	456216
ADP	2.7.1.153-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	GLUTKIN-RXN	PROSYN-PWY	right	ADP	C00008	7058055	456216
ADP	2.7.4.24-RXN	PWY-6369	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	GLYCOLYSIS	right	ADP	C00008	7058055	456216
ADP	CARBPSYN-RXN	ARGSYN-PWY	right	ADP	C00008	7058055	456216
ADP	RXN0-6727	PWY-6938-1	left	ADP	C00008	7058055	456216
ADP	CDPKIN-RXN	PWY-5687	right	ADP	C00008	7058055	456216
ADP	ACETYLGLUTKIN-RXN	ARGSYNBSUB-PWY	right	ADP	C00008	7058055	456216
ADP	SPHINGANINE-KINASE-RXN	PWY-5129	right	ADP	C00008	7058055	456216
ADP	ATP-CITRATE-PRO-S--LYASE-RXN	PWY-5172	left	ADP	C00008	7058055	456216
ADP	RXN-11376	PWY-6483	right	ADP	C00008	7058055	456216
ADP	RXN-20400	PWY-8043	right	ADP	C00008	7058055	456216
ADP	PYRIDOXKIN-RXN	PLPSAL-PWY	right	ADP	C00008	7058055	456216
ADP	PYRIMSYN3-RXN	PWY-6910	right	ADP	C00008	7058055	456216
ADP	GLY3KIN-RXN	PWY-181	right	ADP	C00008	7058055	456216
ADP	RXN-7162	PWY-4541	right	ADP	C00008	7058055	456216
ADP	SHIKIMATE-KINASE-RXN	PWY-6163	right	ADP	C00008	7058055	456216
ADP	RXN-7163	PWY-6554	right	ADP	C00008	7058055	456216
ADP	DADPKIN-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	GALACTOKIN-RXN	PWY-3821	right	ADP	C00008	7058055	456216
ADP	METHYLCROTONYL-COA-CARBOXYLASE-RXN	LEU-DEG2-PWY	right	ADP	C00008	7058055	456216
ADP	FORMATETHFLIG-RXN	PWY-3742	right	ADP	C00008	7058055	456216
ADP	CARBPSYN-RXN	ARGSYNBSUB-PWY	right	ADP	C00008	7058055	456216
ADP	2.7.1.139-RXN	PWY-4562	right	ADP	C00008	7058055	456216
ADP	URIDINEKIN-RXN	PWY-7193	right	ADP	C00008	7058055	456216
ADP	FRUCTOKINASE-RXN	PWY-621	right	ADP	C00008	7058055	456216
ADP	DEOXYADENYLATE-KINASE-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	RIBOFLAVINKIN-RXN	RIBOSYN2-PWY	right	ADP	C00008	7058055	456216
ADP	CARBAMATE-KINASE-RXN	PWY-7060	right	ADP	C00008	7058055	456216
ADP	NADH-KINASE-RXN	PWY-5083	right	ADP	C00008	7058055	456216
ADP	RXN-12002	PWY-7176	right	ADP	C00008	7058055	456216
ADP	GLUTKIN-RXN	CITRULBIO-PWY	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	PWY-7061	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	GLNSYN-PWY	right	ADP	C00008	7058055	456216
ADP	RXN-11832	PWY-7205	right	ADP	C00008	7058055	456216
ADP	PEPDEPHOS-RXN	PWY-1042	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	GLUCONEO-PWY	right	ADP	C00008	7058055	456216
ADP	FRUCTOKINASE-RXN	PWY-4101	right	ADP	C00008	7058055	456216
ADP	2.7.1.134-RXN	PWY-4661	right	ADP	C00008	7058055	456216
ADP	DEOXYADENOSINE-KINASE-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	POLYPHOSPHATE-KINASE-RXN	PWY-8138	right	ADP	C00008	7058055	456216
ADP	ADENYLYLSULFKIN-RXN	PWY-5340	right	ADP	C00008	7058055	456216
ADP	RXN-20401	PWY-8043	right	ADP	C00008	7058055	456216
ADP	FOLYLPOLYGLUTAMATESYNTH-RXN	PWY-3742	right	ADP	C00008	7058055	456216
ADP	MEVALONATE-KINASE-RXN	PWY-922	right	ADP	C00008	7058055	456216
ADP	RXN-4941	PWY-6369	right	ADP	C00008	7058055	456216
ADP	2.7.1.149-RXN	PWY-6351	right	ADP	C00008	7058055	456216
ADP	MANNKIN-RXN	PWY-3861	right	ADP	C00008	7058055	456216
ADP	FGAMSYN-RXN	PWY-6121	right	ADP	C00008	7058055	456216
ADP	RXN-7163	PWY-4541	right	ADP	C00008	7058055	456216
ADP	PSEUDOURIDINE-KINASE-RXN	PWY-6019	right	ADP	C00008	7058055	456216
ADP	RXN-3742	PWY-2161B-PMN	right	ADP	C00008	7058055	456216
ADP	FUCOKINASE-RXN	PWY-6	right	ADP	C00008	7058055	456216
ADP	DCDPKIN-RXN	PWY-7210	right	ADP	C00008	7058055	456216
ADP	DUDPKIN-RXN	PWY-7184	right	ADP	C00008	7058055	456216
ADP	2.7.1.149-RXN	PWY-6367	right	ADP	C00008	7058055	456216
ADP	DURIDKI-RXN	PWY-7199	right	ADP	C00008	7058055	456216
ADP	UDPKIN-RXN	PWY-7176	right	ADP	C00008	7058055	456216
ADP	2.7.1.133-RXN	PWY-4562	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	SUCSYN-PWY	right	ADP	C00008	7058055	456216
ADP	2.7.1.150-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	PEPCARBOXYKIN-RXN	PWY-561	right	ADP	C00008	7058055	456216
ADP	DTDPKIN-RXN	PWY-7210	right	ADP	C00008	7058055	456216
ADP	CHOLINE-KINASE-RXN	PWY3O-450	right	ADP	C00008	7058055	456216
ADP	GLYCOGENSYN-RXN	PWY-622	right	ADP	C00008	7058055	456216
ADP	SUCCCOASYN-RXN	PWY-5690	right	ADP	C00008	7058055	456216
ADP	ASPARTATEKIN-RXN	PWY-5097	right	ADP	C00008	7058055	456216
ADP	PHOSPHORIBULOKINASE-RXN	CALVIN-PWY	right	ADP	C00008	7058055	456216
ADP	L-ARABINOKINASE-RXN	PWY-82	right	ADP	C00008	7058055	456216
ADP	OHMETPYRKIN-RXN	PWY-6910	right	ADP	C00008	7058055	456216
ADP	GLUTKIN-RXN	ARGININE-SYN4-PWY	right	ADP	C00008	7058055	456216
ADP	GMKALT-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	TRANS-RXN-178	PWY-6137	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	PWY0-1182	right	ADP	C00008	7058055	456216
ADP	DGDPKIN-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	UDPNACETYLGALSYN-PWY	right	ADP	C00008	7058055	456216
ADP	ABC-19-RXN	PWY-8171	right	ADP	C00008	7058055	456216
ADP	5-FORMYL-THF-CYCLO-LIGASE-RXN	PWY-3841	right	ADP	C00008	7058055	456216
ADP	PANTOTHENATE-KIN-RXN	PANTO-PWY	right	ADP	C00008	7058055	456216
ADP	PEPDEPHOS-RXN	GLYCOLYSIS	right	ADP	C00008	7058055	456216
ADP	RXN-7913	PWY-7197	right	ADP	C00008	7058055	456216
ADP	PNKIN-RXN	PLPSAL-PWY	right	ADP	C00008	7058055	456216
ADP	DEPHOSPHOCOAKIN-RXN	PWY-7851	right	ADP	C00008	7058055	456216
ADP	DTMPKI-RXN	PWY-7184	right	ADP	C00008	7058055	456216
ADP	6PFRUCTPHOS-RXN	PWY-5484	right	ADP	C00008	7058055	456216
ADP	RXN-7163	PWY-4562	right	ADP	C00008	7058055	456216
ADP	GLY3KIN-RXN	PWY-8363	right	ADP	C00008	7058055	456216
ADP	SAICARSYN-RXN	PWY-6124	right	ADP	C00008	7058055	456216
ADP	HOMOSERKIN-RXN	PWY-702	right	ADP	C00008	7058055	456216
ADP	CYTIKIN-RXN	PWY-7193	right	ADP	C00008	7058055	456216
ADP	1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6351	right	ADP	C00008	7058055	456216
ADP	RXN-7204	PWY-4661	right	ADP	C00008	7058055	456216
ADP	FORMATETHFLIG-RXN	PWY-3841	right	ADP	C00008	7058055	456216
ADP	2.7.1.68-RXN	PWY-6351	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	ARGSYNBSUB-PWY	right	ADP	C00008	7058055	456216
ADP	DTMPKI-RXN	PWY-7187	right	ADP	C00008	7058055	456216
ADP	TETRAACYLDISACC4KIN-RXN	NAGLIPASYN-PWY	right	ADP	C00008	7058055	456216
ADP	THIAZOLSYN3-RXN	PWY-7356	right	ADP	C00008	7058055	456216
ADP	5-METHYLTHIORIBOSE-KINASE-RXN	PWY-6754	right	ADP	C00008	7058055	456216
ADP	RXN-7184	PWY-6554	right	ADP	C00008	7058055	456216
ADP	DTDPKIN-RXN	PWY-7197	right	ADP	C00008	7058055	456216
ADP	ASPARTATEKIN-RXN	HOMOSERSYN-PWY	right	ADP	C00008	7058055	456216
ADP	UDPKIN-RXN	PWY-5687	right	ADP	C00008	7058055	456216
ADP	2.7.1.154-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	RXN-7163	PWY-4661	right	ADP	C00008	7058055	456216
ADP	GALACTOKIN-RXN	PWY-6317	right	ADP	C00008	7058055	456216
ADP	PYRAMKIN-RXN	PWY-7204	right	ADP	C00008	7058055	456216
ADP	PEPDEPHOS-RXN	PWY-5723	right	ADP	C00008	7058055	456216
ADP	GALACTURONOKINASE-RXN	PWY-4	right	ADP	C00008	7058055	456216
ADP	RXN-7186	PWY-4562	right	ADP	C00008	7058055	456216
ADP	ADENYL-KIN-RXN	PWY-7219	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	CALVIN-PWY	right	ADP	C00008	7058055	456216
ADP	ADENOSINE-KINASE-RXN	PWY-6619	right	ADP	C00008	7058055	456216
ADP	GUANYL-KIN-RXN	PWY-7221	right	ADP	C00008	7058055	456216
ADP	DIHYDROFOLATESYNTH-RXN	PWY-6614	right	ADP	C00008	7058055	456216
ADP	ETHANOLAMINE-KINASE-RXN	PWY-3385	right	ADP	C00008	7058055	456216
ADP	RXN-13202	PWY-4984	right	ADP	C00008	7058055	456216
ADP	GLUTKIN-RXN	PWY-6922	right	ADP	C00008	7058055	456216
ADP	TRANS-RXN-358	PWY-6842	right	ADP	C00008	7058055	456216
ADP	RXN-7184	PWY-4562	right	ADP	C00008	7058055	456216
ADP	DEPHOSPHOCOAKIN-RXN	COA-PWY	right	ADP	C00008	7058055	456216
ADP	PHOSGLYPHOS-RXN	PWY-5484	right	ADP	C00008	7058055	456216
ADP	NICOTINATEPRIBOSYLTRANS-RXN	PWY3O-4107	right	ADP	C00008	7058055	456216
ADP	DEOXYGUANOSINE-KINASE-RXN	PWY-7224	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	PWY-5661	right	ADP	C00008	7058055	456216
ADP	GLYCEROL-KIN-RXN	PWY-4261	right	ADP	C00008	7058055	456216
ADP	DCDPKIN-RXN	PWY-7197	right	ADP	C00008	7058055	456216
ADP	RXN-7799	PWY-5129	right	ADP	C00008	7058055	456216
ADP	PYRAMKIN-RXN	PLPSAL-PWY	right	ADP	C00008	7058055	456216
ADP	NICOTINATEPRIBOSYLTRANS-RXN	PWY-5381	right	ADP	C00008	7058055	456216
ADP	RXN0-7115	PWY0-1587	right	ADP	C00008	7058055	456216
ADP	2.7.1.151-RXN	PWY-4541	right	ADP	C00008	7058055	456216
ADP	GLUTCYSLIG-RXN	PWYQT-4470	right	ADP	C00008	7058055	456216
ADP	RXN-14378	PWY-622	right	ADP	C00008	7058055	456216
ADP	RXN1F-20	CHLOROPHYLL-SYN	right	ADP	C00008	7058055	456216
ADP	HOMOSERKIN-RXN	HOMOSER-THRESYN-PWY	right	ADP	C00008	7058055	456216
ADP	6-PHOSPHOFRUCTO-2-KINASE-RXN	PWY66-423	right	ADP	C00008	7058055	456216
ADP	2.7.1.140-RXN	PWY-6554	right	ADP	C00008	7058055	456216
ADP	CDPKIN-RXN	PWY-7205	right	ADP	C00008	7058055	456216
ADP	CTPSYN-RXN	PWY-7177	right	ADP	C00008	7058055	456216
ADP	2.7.1.133-RXN	PWY-6554	right	ADP	C00008	7058055	456216
ADP	2.7.1.139-RXN	PWY-6554	right	ADP	C00008	7058055	456216
ADP	FORMATETHFLIG-RXN	PWY-2161	right	ADP	C00008	7058055	456216
ADP	ATPSYN-RXN	PWY-7980	right	ADP	C00008	7058055	456216
ADP	GALACTOKIN-RXN	PWY-6527	right	ADP	C00008	7058055	456216
ADP	PYRIMSYN3-RXN	PWY-7356	right	ADP	C00008	7058055	456216
ADP	RXN-7614	PWY-5791	right	ADP	C00008	7058055	456216
ADP	PYRIMSYN3-RXN	PWY-6890	right	ADP	C00008	7058055	456216
ADP	PEPCARBOXYKIN-RXN	GLUCONEO-PWY	right	ADP	C00008	7058055	456216
ADP	RXN-14196	CITRULLINE-DEG-PWY	right	ADP	C00008	7058055	456216
ADP	RXN-8443	PWY-5381	right	ADP	C00008	7058055	456216
ADP	RXN0-2921	PWY-2161	right	ADP	C00008	7058055	456216
ADP	RXN-11832	PWY-5687	right	ADP	C00008	7058055	456216
ADP	CARBPSYN-RXN	PWY-7060	right	ADP	C00008	7058055	456216
ADP	RXN-7202	PWY-4661	right	ADP	C00008	7058055	456216
ADP	DIACYLGLYKIN-RXN	PWY-7039	right	ADP	C00008	7058055	456216
ADP	DTDPKIN-RXN	PWY-7187	right	ADP	C00008	7058055	456216
ADP	RXN-7203	PWY-4661	right	ADP	C00008	7058055	456216
ADP	GLUCURONOKINASE-RXN	PWY-4841	right	ADP	C00008	7058055	456216
ADP	PHOSPHOMEVALONATE-KINASE-RXN	PWY-922	right	ADP	C00008	7058055	456216
ADP	GLUTATHIONE-SYN-RXN	PWYQT-4470	right	ADP	C00008	7058055	456216
ADP	1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	PWY-6963	right	ADP	C00008	7058055	456216
ADP	CTPSYN-RXN	PWY-7185	right	ADP	C00008	7058055	456216
ADP	GDPKIN-RXN	PWY-7221	right	ADP	C00008	7058055	456216
ADP	ETHANOLAMINE-KINASE-RXN	PWY4FS-6	right	ADP	C00008	7058055	456216
ADP	2.7.1.152-RXN	PWY-6369	right	ADP	C00008	7058055	456216
ADP	GUANOSINEKIN-RXN	PWY-6618	right	ADP	C00008	7058055	456216
ADP	FRUCTOKINASE-RXN	PWY-3801	right	ADP	C00008	7058055	456216
ADP	GLUTATHIONE-SYN-RXN	GLUTATHIONESYN-PWY	right	ADP	C00008	7058055	456216
ADP	THYKI-RXN	PWY-7199	right	ADP	C00008	7058055	456216
ADP	RXN-6102	PWY-3742	right	ADP	C00008	7058055	456216
ADP	CTPSYN-RXN	PWY-5687	right	ADP	C00008	7058055	456216
ADP	DETHIOBIOTIN-SYN-RXN	PWY0-1507	right	ADP	C00008	7058055	456216
ADP	NAD-KIN-RXN	PWY-8148	right	ADP	C00008	7058055	456216
ADP	2.7.1.68-RXN	PWY-6352	right	ADP	C00008	7058055	456216
ADP	PNKIN-RXN	PWY-7204	right	ADP	C00008	7058055	456216
ADP	RXN-4305	PWY-2681	left	ADP	C00008	7058055	456216
ADP	6PFRUCTPHOS-RXN	PWY-1042	right	ADP	C00008	7058055	456216
ADP	DCDPKIN-RXN	PWY-7184	right	ADP	C00008	7058055	456216
ADP	RXN-13139	PWY-8137	right	ADP	C00008	7058055	456216
ADP	DADPKIN-RXN	PWY-7227	right	ADP	C00008	7058055	456216
ADP	ADENYLYLSULFKIN-RXN	PWY1ZNC-1	right	ADP	C00008	7058055	456216
ADP	PHOSPHORIBULOKINASE-RXN	PWY-5723	right	ADP	C00008	7058055	456216
ADP	RXN-7185	PWY-4562	right	ADP	C00008	7058055	456216
ADP	BIOTIN-CARBOXYL-RXN	PWY0-1264	right	ADP	C00008	7058055	456216
ADP	PYRIDOXKIN-RXN	PWY-7204	right	ADP	C00008	7058055	456216
ADP	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	PWYQT-4470	right	ADP	C00008	7058055	456216
ADP	PEPDEPHOS-RXN	PWY-5484	right	ADP	C00008	7058055	456216
ADP	2.7.1.127-RXN	PWY-6364	right	ADP	C00008	7058055	456216
ADP	AIRS-RXN	PWY-6121	right	ADP	C00008	7058055	456216
ADP	GLUTAMINESYN-RXN	PWY4LZ-283	right	ADP	C00008	7058055	456216
ADP	RXN-10972	PWY-6369	right	ADP	C00008	7058055	456216
ADP	2.7.1.148-RXN	NONMEVIPP-PWY	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	PWY-621	right	ADP	C00008	7058055	456216
ADP	MYO-INOSITOL-1-KINASE-RXN	PWY-4661	right	ADP	C00008	7058055	456216
ADP	GLUCOKIN-RXN	PWY-7238	right	ADP	C00008	7058055	456216
ADP	ACETYLGLUTKIN-RXN	GLUTORN-PWY	right	ADP	C00008	7058055	456216
ADP	FORMYLTHFGLUSYNTH-RXN	PWY-2161	right	ADP	C00008	7058055	456216
ADP	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	PWY-922	right	ADP	C00008	7058055	456216
ADP	DTDPKIN-RXN	PWY-7184	right	ADP	C00008	7058055	456216
ATP	DTMPKI-RXN	PWY-7197	left	ATP	C00002	5461108	30616
ATP	CDPKIN-RXN	PWY-7205	left	ATP	C00002	5461108	30616
ATP	RXN-7204	PWY-4661	left	ATP	C00002	5461108	30616
ATP	CDPKIN-RXN	PWY-5687	left	ATP	C00002	5461108	30616
ATP	1-PHOSPHATIDYLINOSITOL-KINASE-RXN	PWY-6351	left	ATP	C00002	5461108	30616
ATP	RXN-10459	PWY-6220	left	ATP	C00002	5461108	30616
ATP	RXN-11376	PWY-6483	left	ATP	C00002	5461108	30616
ATP	RXN-12184	PWY-6733	left	ATP	C00002	5461108	30616
ATP	ASNSYNB-RXN	ASPARAGINE-BIOSYNTHESIS	left	ATP	C00002	5461108	30616
ATP	RXN-12203	PWY-6724	left	ATP	C00002	5461108	30616
ATP	PYRAMKIN-RXN	PWY-7204	left	ATP	C00002	5461108	30616
ATP	RXN-12002	PWY-7176	left	ATP	C00002	5461108	30616
ATP	ADENYL-KIN-RXN	PWY-7219	left	ATP	C00002	5461108	30616
ATP	RXN-7163	PWY-4562	left	ATP	C00002	5461108	30616
ATP	RXN-14569	PWY0-1587	left	ATP	C00002	5461108	30616
ATP	RXN-6102	PWY-3742	left	ATP	C00002	5461108	30616
ATP	RXN-12360	PWY-6799	left	ATP	C00002	5461108	30616
ATP	RXN-8344	PWY-8171	left	ATP	C00002	5461108	30616
ATP	GLURS-RXN	PWY-5188	left	ATP	C00002	5461108	30616
ATP	GLUTATHIONE-SYN-RXN	GLUTATHIONESYN-PWY	left	ATP	C00002	5461108	30616
ATP	PHOSGLYPHOS-RXN	PWY-1042	left	ATP	C00002	5461108	30616
ATP	HOMOSERKIN-RXN	PWY-702	left	ATP	C00002	5461108	30616
ATP	RXN1F-20	CHLOROPHYLL-SYN	left	ATP	C00002	5461108	30616
ATP	PEPDEPHOS-RXN	PWY-5484	left	ATP	C00002	5461108	30616
ATP	ATPSYN-RXN	PWY-7980	left	ATP	C00002	5461108	30616
ATP	RXN-7163	PWY-6369	left	ATP	C00002	5461108	30616
ATP	RXN-7163	PWY-6554	left	ATP	C00002	5461108	30616
ATP	6PFRUCTPHOS-RXN	PWY-5484	left	ATP	C00002	5461108	30616
ATP	PROPIONATE--COA-LIGASE-RXN	PWY-3941	left	ATP	C00002	5461108	30616
ATP	RXN-7186	PWY-4562	left	ATP	C00002	5461108	30616
ATP	RXN-7799	PWY-5129	left	ATP	C00002	5461108	30616
ATP	NAD-SYNTH-GLN-RXN	PWY-5381	left	ATP	C00002	5461108	30616
ATP	NICONUCADENYLYLTRAN-RXN	PWY-5381	left	ATP	C00002	5461108	30616
ATP	5-METHYLTHIORIBOSE-KINASE-RXN	PWY-6754	left	ATP	C00002	5461108	30616
ATP	RXN-10456	PWY-6220	left	ATP	C00002	5461108	30616
ATP	DIPHTINE--AMMONIA-LIGASE-RXN	PWY-7546	left	ATP	C00002	5461108	30616
ATP	FORMATETHFLIG-RXN	PWY-2161	left	ATP	C00002	5461108	30616
ATP	DEOXYADENOSINE-KINASE-RXN	PWY-7224	left	ATP	C00002	5461108	30616
ATP	RXN-7163	PWY-4661	left	ATP	C00002	5461108	30616
ATP	2.7.1.148-RXN	PWY-7560	left	ATP	C00002	5461108	30616
ATP	RXN-7904	PWY-6803	left	ATP	C00002	5461108	30616
ATP	ACETYLGLUTKIN-RXN	ARGSYNBSUB-PWY	left	ATP	C00002	5461108	30616
ATP	URIDINEKIN-RXN	PWY-7193	left	ATP	C00002	5461108	30616
ATP	FOLYLPOLYGLUTAMATESYNTH-RXN	PWY-3742	left	ATP	C00002	5461108	30616
ATP	RXN-8443	PWY-5381	left	ATP	C00002	5461108	30616
ATP	PHOSGLYPHOS-RXN	CALVIN-PWY	left	ATP	C00002	5461108	30616
ATP	2.7.1.153-RXN	PWY-6352	left	ATP	C00002	5461108	30616
ATP	RXN-2947	PWY-6219	left	ATP	C00002	5461108	30616
ATP	GLUTAMINESYN-RXN	PWY-6964	left	ATP	C00002	5461108	30616
ATP	DIHYDROFOLATESYNTH-RXN	PWY-3742	left	ATP	C00002	5461108	30616
ATP	4.2.1.93-RXN	PWY-6938	left	ATP	C00002	5461108	30616
ATP	NAD-SYNTH-GLN-RXN	PYRIDNUCSYN-PWY	left	ATP	C00002	5461108	30616
ATP	MANNKIN-RXN	PWY-3861	left	ATP	C00002	5461108	30616
ATP	SULFATE-ADENYLYLTRANS-RXN	PWY-5340	left	ATP	C00002	5461108	30616
ATP	CTPSYN-RXN	PWY-5687	left	ATP	C00002	5461108	30616
ATP	UDPKIN-RXN	PWY-5687	left	ATP	C00002	5461108	30616
ATP	H2PTERIDINEPYROPHOSPHOKIN-RXN	PWY-3742	left	ATP	C00002	5461108	30616
ATP	RXN-12204	PWY-6724	left	ATP	C00002	5461108	30616
ATP	RXN-7162	PWY-4541	left	ATP	C00002	5461108	30616
ATP	RXN-16380	PWY-8280	left	ATP	C00002	5461108	30616
ATP	NAD-SYNTH-GLN-RXN	PWY3O-4107	left	ATP	C00002	5461108	30616
ATP	NADH-KINASE-RXN	PWY-5083	left	ATP	C00002	5461108	30616
ATP	RXN-3742	PWY-2161B-PMN	left	ATP	C00002	5461108	30616
ATP	PHOSPHORIBULOKINASE-RXN	CALVIN-PWY	left	ATP	C00002	5461108	30616
ATP	CHOLINE-KINASE-RXN	PWY3O-450	left	ATP	C00002	5461108	30616
ATP	PSEUDOURIDINE-KINASE-RXN	PWY-6019	left	ATP	C00002	5461108	30616
ATP	SUCCCOASYN-RXN	PWY-5690	left	ATP	C00002	5461108	30616
ATP	4-COUMARATE--COA-LIGASE-RXN	PWY-6039	left	ATP	C00002	5461108	30616
ATP	2.7.1.149-RXN	PWY-6367	left	ATP	C00002	5461108	30616
